Events,,,,,,,,,,,,,,Players
08mins 2nd half Round Towers Minor Footballers turnover won    Posn: 63:34,,,,,,,,,,,,,,
08mins 2nd half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
09mins 2nd half Round Towers Minor Footballers free/pen conceded    Posn: 73:8,,,,,,,,,,,,,,
09mins 2nd half Whitehall Colmcilles wide from free   Posn: 72:13,,,,,,,,,,,,,,
09mins 2nd half Round Towers Minor Footballers own puck/kick out won  Ryan Hickey  Posn: 91:10,,,,,,,,,,,,,,
10mins 2nd half Whitehall Colmcilles turnover won    Posn: 92:28,,,,,,,,,,,,,,
10mins 2nd half Whitehall Colmcilles point    Posn: 66:8,,,,,,,,,,,,,,
10mins 2nd half Round Towers Minor Footballers own puck/kick out lost  Craig Doherty  Posn: 8:45,,,,,,,,,,,,,,
11mins 2nd half Whitehall Colmcilles turnover won    Posn: 24:57,,,,,,,,,,,,,,
11mins 2nd half Round Towers Minor Footballers free/pen conceded    Posn: 31:58,,,,,,,,,,,,,,
11mins 2nd half Whitehall Colmcilles goal    Posn: 55:7,,,,,,,,,,,,,,
12mins 2nd half Round Towers Minor Footballers own puck/kick out won    Posn: 33:44,,,,,,,,,,,,,,
12mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 32:44,,,,,,,,,,,,,,
12mins 2nd half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
12mins 2nd half Whitehall Colmcilles wide from play   Posn: 73:23,,,,,,,,,,,,,,
13mins 2nd half Round Towers Minor Footballers own puck/kick out won  Liam Redmond  Posn: 26:42,,,,,,,,,,,,,,
13mins 2nd half Whitehall Colmcilles turnover won  12  Posn: 48:57,,,,,,,,,,,,,,
13mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 66:27,,,,,,,,,,,,,,
13mins 2nd half Round Towers Minor Footballers turnover won  Ryan Hickey,,,,,,,,,,,,,,
13mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 55:48,,,,,,,,,,,,,,
14mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 66:8,,,,,,,,,,,,,,
14mins 2nd half Round Towers Minor Footballers off posts from free Ciar?n Kirk  Posn: 70:13,,,,,,,,,,,,,,
14mins 2nd half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
14mins 2nd half Round Towers Minor Footballers turnover won  Harry Warfield  Posn: 49:6,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles turnover won  1  Posn: 33:95,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles wide from play   Posn: 64:24,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers own puck/kick out won    Posn: 8:22,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 70:73,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers short from free Harry Leech  Posn: 66:78,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles turnover won  1,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers short from play   Posn: 74:74,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles turnover won    Posn: 16:93,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers free/pen conceded  Pierce McDonald  Posn: 25:15,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles point from free 11  Posn: 23:14,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers own puck/kick out lost    Posn: 68:26,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles point  15  Posn: 64:15,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers own puck/kick out won  Craig Doherty  Posn: 20:46,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles turnover won    Posn: 52:67,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers free/pen conceded  Cathal Downey  Posn: 10:16,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles saved  11  Posn: 61:21,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles point from play   Posn: 80:19,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers own puck/kick out won  Craig Moore  Posn: 8:25,,,,,,,,,,,,,,
15mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 67:89,,,,,,,,,,,,,,
15mins 2nd half Round Towers Minor Footballers saved from penalty Harry Leech  Posn: 49:90,,,,,,,,,,,,,,
16mins 2nd half Round Towers Minor Footballers goal from play Harry Leech  Posn: 50:93,,,,,,,,,,,,,,
16mins 2nd half Whitehall Colmcilles own puck/kick out lost    Posn: 75:70,,,,,,,,,,,,,,
16mins 2nd half Round Towers Minor Footballers free/pen conceded    Posn: 70:69,,,,,,,,,,,,,,
16mins 2nd half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
16mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 51:20,,,,,,,,,,,,,,
17mins 2nd half Whitehall Colmcilles turnover won    Posn: 92:74,,,,,,,,,,,,,,
17mins 2nd half Round Towers Minor Footballers turnover won  Harry Warfield  Posn: 43:4,,,,,,,,,,,,,,
17mins 2nd half Round Towers Minor Footballers free/pen conceded  Ryan Hickey  Posn: 49:18,,,,,,,,,,,,,,
18mins 2nd half Whitehall Colmcilles off posts  15  Posn: 39:12,,,,,,,,,,,,,,
18mins 2nd half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
18mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 61:20,,,,,,,,,,,,,,
18mins 2nd half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
18mins 2nd half Whitehall Colmcilles wide from play   Posn: 29:14,,,,,,,,,,,,,,
18mins 2nd half Round Towers Minor Footballers own puck/kick out won  Harry Leech  Posn: 19:35,,,,,,,,,,,,,,
19mins 2nd half Round Towers Minor Footballers goal  Luke Swayne  Posn: 55:96,,,,,,,,,,,,,,
19mins 2nd half Whitehall Colmcilles own puck/kick out lost    Posn: 24:67,,,,,,,,,,,,,,
20mins 2nd half Round Towers Minor Footballers short from free Harry Leech  Posn: 47:74,,,,,,,,,,,,,,
20mins 2nd half Whitehall Colmcilles turnover won    Posn: 65:81,,,,,,,,,,,,,,
20mins 2nd half Whitehall Colmcilles off posts    Posn: 66:10,,,,,,,,,,,,,,
20mins 2nd half Round Towers Minor Footballers turnover won ,,,,,,,,,,,,,,
20mins 2nd half Whitehall Colmcilles turnover won ,,,,,,,,,,,,,,
20mins 2nd half Whitehall Colmcilles short    Posn: 54:20,,,,,,,,,,,,,,
21mins 2nd half Round Towers Minor Footballers turnover won  Harry Warfield,,,,,,,,,,,,,,
21mins 2nd half Whitehall Colmcilles turnover won    Posn: 26:20,,,,,,,,,,,,,,
21mins 2nd half Round Towers Minor Footballers turnover won    Posn: 58:5,,,,,,,,,,,,,,
21mins 2nd half Whitehall Colmcilles free/pen conceded    Posn: 85:57,,,,,,,,,,,,,,
23mins 2nd half Whitehall Colmcilles turnover won    Posn: 88:71,,,,,,,,,,,,,,
